0 1
688.000000 1
1655.000000 7
827.500000 32
413.750000 24
206.875000 8
413.750000 4
827.500000 2
413.750000 2
827.500000 3
206.875000 2
413.750000 1
827.500000 3
413.750000 2
827.500000 3
206.875000 2
413.750000 1
827.500000 3
413.750000 2
827.500000 3
206.875000 2
413.750000 1
827.500000 3
413.750000 2
827.500000 3
206.875000 2
413.750000 1
827.500000 1
827.500000 32
413.750000 24
206.875000 8
413.750000 4
827.500000 2
413.750000 2
827.500000 3
206.875000 2
413.750000 1
827.500000 3
413.750000 2
827.500000 3
206.875000 2
413.750000 1
827.500000 3
413.750000 2
827.500000 3
206.875000 2
413.750000 1
827.500000 3
413.750000 2
827.500000 3
206.875000 2
413.750000 1
827.500000 3
